Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2025 to 12-31-2025,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,"CH Bacon, Egg & Cheese Bagel",12,0,0,14,0,172.62,91,4.62,77,77,81.62,Food,
Item,"CH Tin, Scallop Galician",10,1,0,15,0,159,0,9,150,150,159,Food,
Item,El Tesoro Extra Anejo,4,0,0,23.5,0,94,0,0,94,94,94,Liquor,
Item,Gautier VS ,2,0,0,8,0,16,8,0,8,8,8,Liquor,
Item,Chimay Red,47,0,0,12,0,564,0,0,564,564,564,Bottle Beer,
Item,Carpano Antica Vermouth,44,0,0,10.8,0,475,11,0,464,464,464,Liquor,
Item,Purple Swallow bambi,4,0,0,14,0,56,0,0,56,56,56,Liquor,
Item,Drambuie,2,0,0,7,0,14,0,0,14,14,14,Liquor,
Item,CH Soup,32,0,0,9.91,0,333.32,45,16.32,272,272,288.32,Food,
Item,Haymans Dry,258,1,0,12.65,0,3263,122,0,3141,3141,3141,Liquor,
Item,Black Butte,44,0,0,8,0,352,16,0,336,336,336,Bottle Beer,
Item,CH Garlic Pickle,10,0,0,6,0,63.24,6,3.24,54,54,57.24,Food,
Item,Jim Beam,517,0,0,6.45,0,3337,30,0,3307,3307,3307,Liquor,
Item,Sake - Tears of Dawn,2,0,0,12,0,24,0,0,24,24,24,Liquor,
Item,Jefferson's Ocean,6,0,0,17,0,102,16,0,86,86,86,Liquor,
Item,Catering,0,1,0,0,0,0,0,0,0,0,0,ROA/DEPOSITS,
Item,Scapegrace black,2,0,0,14.5,0,29,0,0,29,29,29,Liquor,
Item,CH Flan,4,0,0,8,0,32.96,16,0.96,16,16,16.96,Food,
Item,Ocho Repo,9,1,0,15.11,0,136,33,0,103,103,103,Liquor,
Item,CH Sorbet & Gelato,7,0,1,7,0,59.15,3.5,3.15,52.5,52.5,55.65,Food,
Item,CH Venison Bolognese ,11,0,0,22,0,251.9,77,9.9,165,165,174.9,Food,
Item,Santa Sake tini,24,0,0,16,0,384,0,0,384,384,384,Liquor,
Item,Averna,11,0,0,11.82,0,130,0,0,130,130,130,Liquor,
Item,Chums Sbagliato,199,2,0,14,0,2786,126,0,2660,2660,2660,Liquor,
Item,D/ BOAL Gose,40,2,0,8,0,320,0,0,320,320,320,Draft Beer,
Item,Intercontinental,29,0,0,18,0,522,18,0,504,504,504,Liquor,
Item,Hinton Daquiri,2,0,0,13,0,26,0,0,26,26,26,Liquor,
Item,Angels Envy,34,0,0,15.68,0,533,0,0,533,533,533,Liquor,
Item,Pernod Ricard,47,0,0,9.81,0,461,0,0,461,461,461,Liquor,
Item,Little Death Afternoon,199,2,1,12,0,2400,48,0,2352,2352,2352,Liquor,
Item,CH Asparagus,6,0,0,8,0,50.4,8,2.4,40,40,42.4,Food,
Item,CH Schnack Wrap,19,0,0,14,0,279.44,42,13.44,224,224,237.44,Food,
Item,Irish Coffee,14,0,0,11,0,154,11,0,143,143,143,Liquor,
Item,CH Mug Oâ€™ Soup,93,1,0,8.44,0,826.19,98.5,41.19,686.5,686.5,727.69,Food,
Item,Beefeater,202,0,0,12.02,0,2429,26,0,2403,2403,2403,Liquor,
Item,Brown Derby,18,0,0,13,0,234,0,0,234,234,234,Liquor,
Item,Sao Paolo Preto,75,0,0,16,0,1200,16,0,1184,1184,1184,Liquor,
Item,B/A Manhattan,1192,3,0,13.39,0,15959,282,0,15677,15677,15677,Liquor,
Item,Open Drink,39,2,0,8.44,0,348.26,8,19.26,321,321,340.26,Beverage,
Item,CH Lamb Ragu,34,0,4,16,0,635.84,144,27.84,464,464,491.84,Food,
Item,"CH Tin, Smoked Octopus",8,0,0,21,0,178.08,0,10.08,168,168,178.08,Food,
Item,Knob Creek Rye,294,1,0,14.51,0,4265,99,0,4166,4166,4166,Liquor,
Item,CH bacon and eggs,21,0,0,16,0,355.2,16,19.2,320,320,339.2,Food,
Item,Campari,80,0,0,10.61,0,849,70,0,779,779,779,Liquor,
Item,D/ New Trail Festbier,266,2,0,7,0,1862,28,0,1834,1834,1834,Draft Beer,
Item,Bacardi,309,6,0,7.8,0,2409,41,0,2368,2368,2368,Liquor,
Item,Knob Creek HSC SB Bourbon,3,0,0,17.67,0,53,16,0,37,37,37,Liquor,
Item,CH Blistered Sausage,12,0,1,11,0,148.28,55,5.28,88,88,93.28,Food,
Item,CH Fries,122,1,1,10.36,0,1344.26,103,70.26,1171,1171,1241.26,Food,
Item,Sazerac Rye,19,0,0,12.84,0,244,0,0,244,244,244,Liquor,
Item,Kir Royale,22,1,0,12,0,264,0,0,264,264,264,Liquor,
Item,Johnny Drum,101,2,0,14.5,0,1465,39,0,1426,1426,1426,Liquor,
Item,CH Brussels,26,0,0,11,0,301.84,22,15.84,264,264,279.84,Food,
Item,BOAL Can,69,3,0,10,0,690,10,0,680,680,680,Bottle Beer,
Item,Makers Mark Single Barrel,7,0,0,15,0,105,0,0,105,105,105,Liquor,
Item,Del Maguey Santo Domingo,2,0,0,21,0,42,0,0,42,42,42,Liquor,
Item,Gift Card,12,1,0,82.92,0,175,175,0,0,0,820,Gift Card,
Item,CH Boneless Wings,19,0,0,11,0,219.89,27.5,10.89,181.5,181.5,192.39,Food,
Item,Rittenhouse Single Barrel,119,0,0,13.61,0,1619,161,0,1458,1458,1458,Liquor,
Item,CH Arancini ,21,1,0,9,0,199.53,13.5,10.53,175.5,175.5,186.03,Food,
Item,Xmas Hot Choc Boozy,220,1,2,12,0,2664,36,0,2628,2628,2628,Liquor,
Item,CH Lentil Stew,17,0,0,9,0,160.56,27,7.56,126,126,133.56,Food,
Item,Gautier VSOP,45,0,0,14.22,0,640,0,0,640,640,640,Liquor,
Item,D/ Nitro Draft,608,5,1,7,0,4263,147,0,4116,4116,4116,Draft Beer,
Item,Rusty Nail,37,0,0,12,0,444,6,0,438,438,438,Liquor,
Item,Digital Gift Card,4,0,0,55,0,0,0,0,0,0,220,Gift Card,
Item,El Neto Amontillado,7,0,0,9,0,63,9,0,54,54,54,Liquor,
Item,St George vodka,5,0,0,10,0,50,0,0,50,50,50,Liquor,
Item,Milagro Repo,3,0,0,14,0,42,0,0,42,42,42,Liquor,
Item,CH Pork ,160,4,3,15.37,0,2636.41,332.5,130.41,2173.5,2173.5,2303.91,Food,
Item,Tattoo,14,0,0,12.29,0,172,0,0,172,172,172,Liquor,
Item,Disaronno,103,0,0,10.89,0,1122,0,0,1122,1122,1122,Liquor,
Item,Jack Frost Rose,59,0,0,19.49,0,1150,35,0,1115,1115,1115,Liquor,
Item,Meletti,15,1,0,8.07,0,121,0,0,121,121,121,Liquor,
Item,Sicilian Vespers,26,0,0,14,0,364,14,0,350,350,350,Liquor,
Item,CH Buttercrunch Salad,6,0,0,13,0,81.9,13,3.9,65,65,68.9,Food,
