Product Mix Report - Chumley's ,,,,,,,,,,,,,,
01-01-2024 to 12-31-2024,,,,,,,,,,,,,,
Type,Name,Sold,Void,Comp,Price,Cost,Gross,Comps,Total Tax,Net,Gross Profit,Receipt Total,Category Name,Identifier
Item,El Tesoro Blanco,3,2,0,10,0,30,0,0,30,30,30,Liquor,
Item,D/ New Trail Rocksylvania IPA,53,0,0,7,0,371,14,0,357,357,357,Draft Beer,
Item,Haymans Sloe Gin,5,0,0,11.6,0,58,0,0,58,58,58,Liquor,
Item,Francoli,1,0,0,8,0,8,0,0,8,8,8,Liquor,
Item,"CH Tin, Smoked Coho",7,0,0,16,0,116.8,32,4.8,80,80,84.8,Food,
Item,Knob Creek Single Barrel,3,0,0,15.67,0,47,0,0,47,47,47,Liquor,
Item,Corpse Reviver #2,1,0,0,16,0,16,0,0,16,16,16,Liquor,
Item,CH Granita,3,0,0,7,0,22.26,0,1.26,21,21,22.26,Food,
Item,Aperol,145,1,0,10.81,0,1567,25,0,1542,1542,1542,Liquor,
Item,Saffron 75,128,2,0,13.92,0,1782,28,0,1754,1754,1754,Liquor,
